consensus_power_rank,poll_points_rank,consensus_power_top25,poll_points_top25,keys_team,predicted_margin_vs_average_team,median_margin_vs_average_team,minimum_model_margin_vs_average,maximum_model_margin_vs_average,model_margin_standard_deviation,average_ballot_rank,best_ballot_rank,worst_ballot_rank,scientific_models,top25_votes,poll_points,first_place_votes
73,78,False,False,Jacksonville State,2.955,1.989,-9.643,14.986,6.018,72.071,35,125,42,0,0,0
74,80,False,False,Air Force,1.676,3.831,-24.679,11.743,7.846,74.333,35,137,42,0,0,0
75,70,False,False,Louisville,1.64,3.23,-10.33,12.8,5.993,69.31,25,106,42,1,1,0
76,81,False,False,New Mexico,1.613,4.027,-30.016,12.746,8.941,74.619,40,133,42,0,0,0
77,79,False,False,Baylor,1.448,1.093,-8.542,13.797,3.995,74.167,29,112,42,0,0,0
78,85,False,False,South Alabama,1.061,0.004,-15.421,16.523,5.488,79.214,26,133,42,0,0,0
79,82,False,False,Colorado,1.016,0.259,-8.19,12.57,4.76,75.0,39,97,42,0,0,0
80,84,False,False,Navy,0.67,1.48,-18.694,13.055,6.428,78.857,34,138,42,0,0,0
81,86,False,False,Colorado State,0.243,0.763,-16.413,11.375,5.778,79.214,45,121,42,0,0,0
82,89,False,False,North Dakota State,0.235,1.453,-19.571,10.558,6.702,82.738,48,135,42,0,0,0
83,83,False,False,Cincinnati,0.225,1.291,-19.741,8.225,5.855,78.595,57,119,42,0,0,0
84,47,False,False,UNLV,-0.322,-1.787,-9.873,24.139,7.387,77.31,10,108,42,2,31,0
85,87,False,False,Stanford,-1.433,-2.332,-10.368,8.9,4.892,81.476,38,110,42,0,0,0
86,92,False,False,New Mexico State,-1.455,-2.397,-17.57,14.394,6.934,87.0,38,135,42,0,0,0
87,93,False,False,Old Dominion,-1.46,-1.671,-17.953,13.786,6.096,87.167,38,126,42,0,0,0
88,88,False,False,West Virginia,-1.624,-1.268,-28.069,6.831,6.488,81.881,39,129,42,0,0,0
89,97,False,False,Middle Tennessee,-2.78,-2.613,-26.052,13.372,7.197,90.595,41,136,42,0,0,0
90,94,False,False,Tulsa,-2.829,-3.919,-18.37,7.952,5.355,89.0,57,110,42,0,0,0
91,90,False,False,TCU,-2.991,-3.147,-14.447,8.75,5.398,85.452,40,111,42,0,0,0
92,91,False,False,Tulane,-3.144,-3.076,-15.014,10.578,5.571,86.381,32,113,42,0,0,0
93,96,False,False,James Madison,-3.348,-2.34,-25.614,5.74,6.433,89.524,58,136,42,0,0,0
94,41,False,False,Clemson,-3.945,-4.171,-19.867,14.436,9.303,85.952,9,132,42,4,47,0
95,95,False,False,Boise State,-3.957,-3.531,-15.369,6.036,6.069,89.452,57,114,42,0,0,0
96,99,False,False,Liberty,-5.376,-6.262,-20.076,11.288,5.092,94.524,43,135,42,0,0,0
97,106,False,False,Massachusetts,-5.809,-4.184,-23.796,11.892,8.296,100.333,45,133,42,0,0,0
98,100,False,False,Eastern Michigan,-6.44,-5.64,-32.964,8.999,7.086,97.238,43,134,42,0,0,0
99,98,False,False,Wisconsin,-6.471,-7.842,-26.373,10.048,8.15,92.833,30,126,42,0,0,0
100,104,False,False,Western Michigan,-6.78,-6.493,-21.722,2.042,4.949,100.214,75,118,42,0,0,0
101,101,False,False,Florida International,-6.806,-8.592,-15.526,11.052,5.52,97.714,31,118,42,0,0,0
102,102,False,False,Washington State,-6.811,-5.24,-19.469,1.683,5.634,98.929,70,122,42,0,0,0
103,105,False,False,Troy,-7.313,-7.654,-17.968,5.946,4.86,100.262,60,117,42,0,0,0
104,103,False,False,Boston College,-7.493,-8.485,-18.401,7.75,6.426,99.19,59,126,42,0,0,0
105,110,False,False,Buffalo,-7.587,-7.183,-24.674,3.715,5.604,103.929,74,124,42,0,0,0
106,71,False,False,NC State,-8.08,-8.736,-26.803,12.601,8.514,97.143,25,127,42,1,1,0
107,108,False,False,Oklahoma State,-8.353,-9.463,-18.27,3.287,5.711,101.881,63,126,42,0,0,0
108,107,False,False,Oregon State,-8.592,-9.719,-19.006,9.65,6.573,101.881,40,127,42,0,0,0
109,112,False,False,Coastal Carolina,-9.032,-9.745,-22.811,3.197,4.994,106.405,61,124,42,0,0,0
110,115,False,False,Sam Houston,-9.342,-9.469,-20.066,-0.537,4.433,108.476,72,128,42,0,0,0
111,113,False,False,Toledo,-9.544,-8.531,-39.151,0.726,7.406,106.571,84,135,42,0,0,0
112,109,False,False,California,-9.875,-11.384,-22.857,8.789,7.521,103.333,33,136,42,0,0,0
113,116,False,False,San José State,-10.239,-12.31,-19.894,6.268,6.755,109.357,56,136,42,0,0,0
114,118,False,False,Bowling Green,-10.248,-10.85,-31.363,0.947,5.41,110.476,77,136,42,0,0,0
115,114,False,False,East Carolina,-10.581,-11.051,-26.25,10.366,7.935,107.238,34,137,42,0,0,0
116,120,False,False,Charlotte,-10.958,-9.979,-24.731,0.194,6.181,111.071,82,136,42,0,0,0
117,111,False,False,Rutgers,-11.272,-12.338,-44.249,10.111,10.473,105.548,34,137,42,0,0,0
118,117,False,False,UAB,-11.351,-12.311,-26.411,6.126,7.539,110.429,57,128,42,0,0,0
119,119,False,False,Utah State,-11.489,-9.805,-40.687,6.65,9.081,110.81,55,138,42,0,0,0
120,121,False,False,Ohio,-11.944,-11.939,-27.094,6.288,7.5,113.69,52,137,42,0,0,0
121,68,False,False,Fresno State,-12.787,-13.448,-30.432,12.88,8.702,111.976,23,134,42,1,3,0
122,126,False,False,Hawai'i,-13.176,-13.54,-29.06,0.209,5.818,118.19,70,134,42,0,0,0
123,123,False,False,Arkansas State,-14.121,-13.689,-38.46,4.382,9.032,115.929,61,138,42,0,0,0
124,124,False,False,Western Kentucky,-14.366,-15.1,-30.605,3.5,8.775,116.143,72,137,42,0,0,0
125,125,False,False,Texas State,-14.479,-13.822,-36.388,1.08,8.111,116.286,82,137,42,0,0,0
126,122,False,False,North Texas,-15.169,-12.18,-56.999,5.226,12.461,115.071,65,138,42,0,0,0
127,127,False,False,Miami (OH),-15.509,-17.656,-27.939,11.488,8.946,118.262,30,135,42,0,0,0
128,130,False,False,Akron,-15.961,-16.613,-33.821,-2.512,6.973,123.69,87,138,42,0,0,0
129,131,False,False,Central Michigan,-17.199,-18.208,-31.462,8.91,8.491,124.119,39,136,42,0,0,0
130,129,False,False,Marshall,-17.256,-17.829,-31.49,-0.307,7.914,122.643,88,138,42,0,0,0
131,134,False,False,Wyoming,-17.939,-18.899,-31.906,-1.209,7.521,126.714,88,136,42,0,0,0
132,128,False,False,Florida Atlantic,-17.976,-19.036,-36.439,8.592,9.892,122.262,44,138,42,0,0,0
133,133,False,False,Northern Illinois,-19.27,-20.783,-35.865,10.055,9.895,125.929,36,138,42,0,0,0
134,136,False,False,Ball State,-19.61,-20.654,-32.08,-1.727,7.927,127.762,94,136,42,0,0,0
135,135,False,False,Missouri State,-20.11,-21.036,-35.368,1.218,9.35,127.381,79,138,42,0,0,0
136,137,False,False,UL Monroe,-20.713,-21.867,-35.021,-3.4,8.206,129.69,103,138,42,0,0,0
137,132,False,False,UTEP,-21.316,-23.495,-37.629,8.73,11.058,125.905,43,138,42,0,0,0
138,138,False,False,Kent State,-25.488,-26.488,-45.289,-3.318,10.508,134.357,99,138,42,0,0,0
